Season,event_team,home_skaters,away_skaters,event_player_1,event_player_2
2015,BOS,5,5,Hilary Knight,Alyssa Gagliardi
2015,BOS,5,5,Hilary Knight,Kacey Bellamy
2015,BOS,5,5,Jordan Smelker,Brianna Decker
2015,BOS,5,4,Amanda Pelkey,Kacey Bellamy
2015,BUF,5,5,Kelley Steadman,Meghan Duggan
2015,BOS,5,5,Zoe Hickel,NA
2015,BOS,5,5,Brianna Decker,Jordan Smelker
2015,BOS,5,4,Brianna Decker,Corinne Buie
2015,MET,5,4,Gabie Figueroa,NA
2015,BOS,5,5,Zoe Hickel,Amanda Pelkey
2015,BOS,5,5,Corinne Buie,Blake Bolden
2015,BOS,5,5,Blake Bolden,Hilary Knight
2015,BOS,4,5,Jordan Smelker,Brianna Decker
2015,BOS,5,5,Brianna Decker,NA
2015,BUF,5,5,Kelley Steadman,Meghan Duggan
2015,BOS,5,5,Brianna Decker,Jordan Smelker
2015,BOS,5,5,Emily Field,Rachel Llanes
2015,BUF,4,5,Kelley Steadman,Kourtney Kunichika
2015,BOS,5,3,Gigi Marvin,Kacey Bellamy
2015,BUF,6,3,Kourtney Kunichika,Megan Bozek
2015,BOS,6,5,Brianna Decker,NA
2015,BOS,4,4,Hilary Knight,Emily Field
2015,MET,5,5,Madison Packer,Moran Fritz-Ward
2015,MET,5,5,Beth Hanrahan,Ashley Johnston
2015,MET,4,5,Bray Ketchum,Brooke Ammerman
2015,BOS,5,3,Kacey Bellamy,Hilary Knight
2015,MET,5,5,Brooke Ammerman,Janine Weber
2015,MET,5,5,Madison Packer,NA
2015,BOS,5,4,Hilary Knight,Brianna Decker
2015,MET,5,5,Meghan Fardelmann,Taylor Holze
2015,BOS,5,4,Amanda Pelkey,Hilary Knight
2015,CTW,5,5,Shiann Darkangelo,NA
2015,CTW,4,5,Shannon Doyle,Kate Buesser
2015,CTW,5,5,Shiann Darkangelo,Jordan Brickner
2015,CTW,5,4,Molly Engstrom,Shannon Doyle
2015,BOS,5,5,Rachel Llanes,NA
2015,BOS,5,4,Amanda Pelkey,Brianna Decker
2015,BOS,5,4,Kacey Bellamy,Brianna Decker
2015,BOS,5,5,Jillian Dempsey,Rachel Llanes
2015,BOS,5,5,Jillian Dempsey,Rachel Llanes
2015,BUF,4,5,Devon Skeats,Hailey Browne
2015,BOS,5,5,Jordan Smelker,Hilary Knight
2015,BOS,5,5,Hilary Knight,NA
2015,BOS,5,5,Emily Field,Hilary Knight
2015,BUF,5,5,Devon Skeats,NA
2015,BUF,5,5,Kourtney Kunichika,Hailey Browne
2015,BOS,5,4,Amanda Pelkey,Brianna Decker
2015,BUF,4,5,Hailey Browne,Devon Skeats
2015,BUF,4,5,Devon Skeats,Hailey Browne
2015,BOS,5,5,Rachel Llanes,Kelly Cooke
2015,BUF,5,5,Emily Pfalzer,Shelby Bram
2015,BOS,5,5,Jillian Dempsey,Blake Bolden
2015,BOS,5,6,Hilary Knight,NA
2015,MET,5,5,Meghan Fardelmann,Ashley Johnston
2015,BOS,5,5,Amanda Pelkey,Brianna Decker
2015,BOS,5,6,Hilary Knight,Corinne Buie
2015,BOS,5,5,Hilary Knight,Jordan Smelker
2015,BOS,5,5,Kelly Cooke,Jillian Dempsey
2015,CTW,5,4,Kate Buesser,Jessica Koizumi
2015,BOS,5,5,Emily Field,Blake Bolden
2015,BUF,5,5,Hailey Browne,Kourtney Kunichika
2015,BOS,5,5,Jordan Smelker,Jillian Dempsey
2015,BOS,5,5,Hilary Knight,Marissa Gedman
2015,BUF,5,5,Hailey Browne,Kelly McDonald
2015,BOS,4,5,Brianna Decker,Hilary Knight
2015,BUF,5,5,Devon Skeats,Kourtney Kunichika
2015,BUF,5,5,Megan Bozek,Emily Pfalzer
2015,BOS,5,5,Jillian Dempsey,Amanda Pelkey
2015,BOS,5,5,Rachel Llanes,Corinne Buie
2015,BOS,5,4,Brianna Decker,Hilary Knight
2015,BOS,5,5,Corinne Buie,Emily Field
2015,BOS,5,5,Hilary Knight,Brianna Decker
2015,BOS,5,5,Amanda Pelkey,Jillian Dempsey
2015,BOS,5,5,Jillian Dempsey,Hilary Knight
2015,BOS,5,5,Jordan Smelker,Blake Bolden
2015,MET,5,5,Bray Ketchum,Brooke Ammerman
2015,CTW,5,5,Tara Tomimoto,Kelli Stack
