Player,Team,Season,betweenness_all,betweenness_5v5,betweenness_EV,betweenness_PP,betweenness_PK
Kelley Steadman,BUF,2015-16,0.3835,0.0625,0.1192,0,0.1
Brianna Decker,BOS,2016-17,0.3483,0.3939,0.3719,0.0714,0
Hilary Knight,BOS,2015-16,0.3349,0.2958,0.3366,0,0
Taylor Accursi,BUF,2017-18,0.3143,0.0165,0.0165,0,0.0714
Kelly Babstock,CTW,2017-18,0.2727,0.1288,0.1288,NA,NA
Rebecca Russo,MET,2016-17,0.2521,0.3387,0.3856,NA,NA
Janine Weber,MET,2016-17,0.2512,0.2053,0.2075,0,0
Alex Carpenter,BOS,2016-17,0.2478,0.3945,0.2744,0,NA
Jillian Dempsey,BOS,2015-16,0.241,0.3574,0.2882,NA,0
Emily Fluke,CTW,2017-18,0.2348,0.0985,0.0985,NA,NA
Alexa Gruschow,MET,2017-18,0.2314,0.1976,0.1929,0,0
Nicole Kosta,CTW,2016-17,0.2192,0.1191,0.1762,0,0.1667
Brooke Ammerman,MET,2015-16,0.2185,0.0303,0.0303,0,0.5
Amanda Boulier,CTW,2017-18,0.2121,0.0682,0.0682,NA,0
Sam Faber,CTW,2017-18,0.2045,0.0758,0.0758,NaN,NA
Haley Skarupa,CTW,2016-17,0.2037,0.082,0.1943,0,0
Meghan Duggan,BOS,2016-17,0.2007,0.2243,0.1473,0,0
Kourtney Kunichika,BUF,2017-18,0.1972,0.0407,0.0407,NA,0
Harrison Browne,BUF,2015-16,0.1954,0.142,0.2318,NA,0
Kelly Babstock,CTW,2015-16,0.195,0.1375,0.1375,0.0227,0
Madison Packer,MET,2017-18,0.1856,0.2729,0.2681,0,0.0417
Kourtney Kunichika,BUF,2015-16,0.184,0.1174,0.139,0,0.1333
Amanda Kessel,MET,2016-17,0.1795,0.1451,0.142,0,0.1667
Jordan Smelker,BOS,2015-16,0.1792,0.2174,0.1665,NA,0
Rebecca  Vint,BUF,2017-18,0.1779,0,0,NA,0.0714
Hayley Williams,BUF,2015-16,0.1758,0.0461,0.0472,0,NA
Ludmila Belyakova,MET,2015-16,0.1756,0.053,0.053,0,NA
Kristin Lewicki,BUF,2017-18,0.1728,0.0846,0.0846,NA,NA
Miye D'Oench,MET,2017-18,0.1708,0.0848,0.0848,0,0.0139
Miye D'Oench,MET,2016-17,0.1696,0.1928,0.1988,0.0238,NA
Megan Bozek,BUF,2015-16,0.1559,0.1787,0.3428,0,NA
Kelli Stack,CTW,2016-17,0.1514,0.1919,0.2225,NA,0
