Player,Team,Season,eTOI
Alex Carpenter,BOS,2016,258.4746664
Kathryn Tomaselli,BOS,2016,30.36874658
Blake Bolden,BOS,2016,342.6455401
Alexandra Bender,BOS,2016,333.0091586
Alyssa Gagliardi,BOS,2016,270.2807337
Brianna Decker,BOS,2016,365.3259038
Jillian Dempsey,BOS,2016,256.5962568
Emily Field,BOS,2016,191.7615655
Amanda Pelkey,BOS,2016,293.1802623
Kacey Bellamy,BOS,2016,335.0704168
Michaela Levine,BOS,2016,16.42117609
Meghan Duggan,BOS,2016,270.0158735
Hilary Knight,BOS,2016,167.4607085
Gigi Marvin,BOS,2016,316.4963254
Rachel Llanes,BOS,2016,220.1827915
Marissa Gedman,BOS,2016,42.61390943
Zoe Hickel,BOS,2016,197.490621
Jordan Smelker,BOS,2016,191.6998975
Sydney   Daniels,BOS,2017,69.31348746
Emily Field,BOS,2017,310.9171185
Kaleigh Fratkin,BOS,2017,197.5052633
Meagan Mangene,BOS,2017,194.8843372
Michaela Levine,BOS,2017,55.68864165
Jillian Dempsey,BOS,2017,290.041323
Haley Skarupa,BOS,2017,84.9703597
Brittany Ott,BOS,2017,15.21308681
Madison  Litchfield,BOS,2017,29.64439444
Corey  Stearns,BOS,2017,145.0294679
Mary Parker,BOS,2017,207.1258201
Marissa Gedman,BOS,2017,129.3960179
Dana Trivigno,BOS,2017,237.6560222
Alyssa Gagliardi,BOS,2017,331.8848648
Elizabeth  Parker,BOS,2017,35.8156593
Lexi Bender,BOS,2017,290.4236059
Janine Weber,BOS,2017,171.3505261
Heather  Schwarz,BOS,2017,263.0229653
Jordan Smelker,BOS,2017,193.7733988
Paige Harrington,BOS,2017,243.9689097
Mallory Souliotis,BOS,2017,37.18320235
Kathryn Tomaselli,BOS,2017,114.0321941
Kaliya Johnson,BOS,2017,269.5128376
Corinne Buie,BUF,2016,307.4704502
Anne Schleper,BUF,2016,130.4451828
Kelley Steadman,BUF,2016,175.3035155
Kourtney Kunichika,BUF,2016,361.700881
Emily Janiga,BUF,2016,255.4671585
Lisa Chesson,BUF,2016,111.4728534
Megan Bozek,BUF,2016,366.2584184
Devon Skeats,BUF,2016,227.6342138
Jacquie Greco,BUF,2016,161.5343449
Jordyn Burns,BUF,2016,176.8436908
Paige Harrington,BUF,2016,311.9673298
Shiann Darkangelo,BUF,2016,371.6046627
Ashley Vesci,BUF,2016,140.915448
Morgan Beikirich,BUF,2016,42.7284306
Harrison Browne,BUF,2016,330.2113755
Sarah Casorso,BUF,2016,302.4882929
Kristina Lavoie,BUF,2016,118.9776607
Emily Pfalzer,BUF,2016,311.7876764
Kayla Parsons,BUF,2016,98.13443535
Hayley  Scamurra,BUF,2017,246.9407585
Jacquie Greco,BUF,2017,250.361086
Kristin Lewicki,BUF,2017,232.4748465
Maddie  Elia,BUF,2017,260.1621223
Kaylyn  Schroka,BUF,2017,163.4601519
Lisa Chesson,BUF,2017,277.1953296
Corinne Buie,BUF,2017,293.9906286
Sarah Casorso,BUF,2017,223.1274501
Sarah Shureb,BUF,2017,92.5678798
Rebecca  Vint,BUF,2017,232.8007931
Kayla Parsons,BUF,2017,39.07455026
Jordyn Burns,BUF,2017,220.7320841
Kourtney Kunichika,BUF,2017,282.4173918
Colleen  Murphy,BUF,2017,225.9046233
Jess Jones,BUF,2017,239.2878219
Jordan  Juron,BUF,2017,29.58289032
Taylor Accursi,BUF,2017,262.4314458
Sarah  Edney,BUF,2017,307.3464997
Jordan  Ott,BUF,2017,90.61665892
Katherine Donohue,BUF,2017,84.95866911
Ivana Bilic,CTW,2016,147.5151152
Nicole Kosta,CTW,2016,260.8735462
Elena Orlando,CTW,2016,151.8455871
Shannon Doyle,CTW,2016,316.9252068
Anya Battaglino,CTW,2016,57.45072866
Haley Skarupa,CTW,2016,363.3917265
Sam Faber,CTW,2016,225.8474401
Molly Engstrom,CTW,2016,129.4566216
Jordan Brickner,CTW,2016,224.4658536
Nicole Connery,CTW,2016,335.3242694
Cydney Roesler,CTW,2016,288.8592247
Meghan   Huertas,CTW,2016,102.8487908
Kelli Stack,CTW,2016,266.5378371
Kelly Babstock,CTW,2016,288.6609437
Dana Trivigno,CTW,2016,297.663222
Celeste Brown,CTW,2016,43.52910768
Zoe Hickel,CTW,2016,55.96595614
Micaela Long,CTW,2016,295.3193595
Meagan Mangene,CTW,2016,275.4994674
Kaliya Johnson,CTW,2016,236.0676972
Juana Baribeau,CTW,2016,80.51887618
Stephanie  Mock,CTW,2017,169.266263
Meghan   Huertas,CTW,2017,131.9335636
Sam Donovan,CTW,2017,28.88409685
Anya Battaglino,CTW,2017,111.3248689
Sam Faber,CTW,2017,200.9512823
Amanda Boulier,CTW,2017,210.8023281
Hanna  Beattie,CTW,2017,195.1991127
Rachael Ade,CTW,2017,290.2373811
Jordan Brickner,CTW,2017,260.604625
Paige Savage,CTW,2017,60.26287047
