"","Season","Player","Team","position","game_id","game_date","home_team","away_team","G","A1","A2","PTS","PrPTS","GS","SOG","eGF","eGA","GF.","PPG","PPA1","PPA2","SHG","SHA1","SHA2","FOW","FOL","PIM","Blk","TO","SV","GA"
"1","2015","Anya Battaglino","CTW","F|D","14665102","2016-08-18","CTW","MET",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
"2","2015","Ashley Johnston","MET","D","14665102","2016-08-18","CTW","MET",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
"3","2015","Brooke Ammerman","MET","F","14665102","2016-08-18","CTW","MET",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2015","Danielle Ward","CTW","F","14665102","2016-08-18","CTW","MET",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
"5","2015","Elena Orlando","MET","D","14665102","2016-08-18","CTW","MET",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
"6","2015","Jaimie Leonoff","CTW","G","14665102","2016-08-18","CTW","MET",0,0,0,0,0,3.48,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,32,1
"7","2015","Jessica Koizumi","CTW","F","14665102","2016-08-18","CTW","MET",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2015","Jordan Brickner","CTW","D","14665102","2016-08-18","CTW","MET",0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2015","Kaleigh Fratkin","CTW","D","14665102","2016-08-18","CTW","MET",0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2015","Kelli Stack","CTW","F","14665102","2016-08-18","CTW","MET",1,1,1,3,2,2.22,1,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
"11","2015","Kelly Babstock","CTW","F","14665102","2016-08-18","CTW","MET",1,1,0,2,2,1.75,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2015","Kiira Dosdall","MET","D","14665102","2016-08-18","CTW","MET",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
"13","2015","Ludmila Belyakova","MET","F","14665102","2016-08-18","CTW","MET",0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2015","Madison Packer","MET","F","14665102","2016-08-18","CTW","MET",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
"15","2015","Micaela Long","CTW","F","14665102","2016-08-18","CTW","MET",0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
