Season,game_id,game_date,home_team,away_team,home_score,away_score,play_index,period,min,sec,game_seconds,event_interval,event_type,event_team,event_player_1,event_player_2,event_player_3,event_detail,x_coord,y_coord,home_skaters,away_skaters,event_angle,event_distance,x_coord_2,y_coord_2,x_coord_1,y_coord_1,home_goalie,away_goalie,plus_player_1,plus_player_2,plus_player_3,plus_player_4,plus_player_5,plus_player_6,minus_player_1,minus_player_2,minus_player_3,minus_player_4,minus_player_5,minus_player_6,
2018,22207012,13/10/18,BOS,MET,0,0,0,1,20,0,0,0,Faceoff,BOS,Dana Trivigno,Kristin Lewicki,NA,NA,-1.0098,-2.125,5,5,1.383448033,88.01585608,-1.0098,-2.125,1.0098,2.125,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,0,1,19,18,42,42,Shot,BOS,Gigi  Marvin,Katie  Fitzgerald,NA,NA,53.4402,15.5805,5,5,23.6605937,38.8233352,53.4402,15.5805,53.4402,15.5805,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,1,1,19,18,42,0,Shot,BOS,Lauren Kelly,Katie  Fitzgerald,NA,NA,61.1028,-13.107,5,5,25.16564451,30.82283596,61.1028,-13.107,61.1028,-13.107,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,2,1,16,2,238,196,Faceoff,MET,Alexa Aramburu,McKenna  Brand,NA,NA,-65.538,-18.4195,5,5,38.13467865,29.82856725,-65.538,-18.4195,65.538,18.4195,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,2,1,15,10,290,52,Shot,BOS,McKenna  Brand,Katie  Fitzgerald,NA,NA,65.934,-30.107,5,5,52.54304254,37.92719084,65.934,-30.107,65.934,-30.107,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,2,1,15,2,298,8,Faceoff,MET,NA,NA,NA,NA,-69.1614,20.893,5,5,46.48285805,28.81123911,-69.1614,20.893,69.1614,-20.893,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,3,1,15,2,298,0,Penalty,BOS,McKenna  Brand,McKenna  Brand,NA,2 Tripping Minor,42.9462,-18.4195,5,5,21.79924299,49.60071043,42.9462,-18.4195,42.9462,-18.4195,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,4,1,13,48,372,74,Shot,MET, Kelsey  Koelzer,Katie Burt,NA,NA,-80.0514,-5.3125,4,5,30.69626077,10.40673331,-80.0514,-5.3125,80.0514,5.3125,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,5,1,13,48,372,0,Faceoff,BOS,Dana Trivigno,Alexa Gruschow,NA,NA,-65.934,-20.893,4,5,42.17003421,31.12166135,-65.934,-20.893,65.934,20.893,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,0,6,1,13,33,387,15,Shot,BOS,Dana Trivigno,Katie  Fitzgerald,NA,NA,72.7848,-18.768,4,5,49.17359977,24.80263162,72.7848,-18.768,72.7848,-18.768,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
