Season,Player,Team,position,game_id,game_date,home_team,away_team,G,A1,A2,PTS,PrPTS,GS,SOG,eGF,eGA,GF.,PPG,PPA1,PPA2,SHG,SHA1,SHA2,FOW,FOL,PIM,Blk,TO,SV,GA
2018, Kelsey  Koelzer,MET,D,22207005,2018-10-06,MIN,MET,0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Alexa Aramburu,MET,F,22207005,2018-10-06,MIN,MET,0,0,0,0,0,0.12,0,0,0,NA,0,0,0,0,0,0,4,3,0,2,0,0,0
2018,Alexa Gruschow,MET,F,22207005,2018-10-06,MIN,MET,0,0,0,0,0,0.71,1,0,0,NA,0,0,0,0,0,0,13,8,0,0,0,0,0
2018,Allie Thunstrom,MIN,F,22207005,2018-10-06,MIN,MET,0,0,0,0,0,0.22,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0
2018,Amanda Boulier,MIN,D|F,22207005,2018-10-06,MIN,MET,0,0,0,0,0,0.22,2,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0
2018,Amanda Kessel,MET,F,22207005,2018-10-06,MIN,MET,0,0,0,0,0,0.44,4,0,0,NA,0,0,0,0,0,0,0,0,0,1,1,0,0
2018,Amanda Leveille,MIN,G,22207005,2018-10-06,MIN,MET,0,0,0,0,0,3.08,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,22,0
2018,Amy Schlagel,MIN,F,22207005,2018-10-06,MIN,MET,0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0
2018,Audra Richards,MET,F,22207005,2018-10-06,MIN,MET,0,0,0,0,0,0.22999999999999998,1,0,0,NA,0,0,0,0,0,0,2,1,0,1,0,0,0
2018,Brooke  White-Lancette,MIN,F,22207005,2018-10-06,MIN,MET,0,0,0,0,0,0.04999999999999999,2,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
2018,Chelsea Ziadie,MET,D,22207005,2018-10-06,MIN,MET,0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0
2018,Chelsey Brodt Rosenthal,MIN,D,22207005,2018-10-06,MIN,MET,0,0,1,1,0,0.86,2,0,0,NA,0,0,0,0,0,0,0,0,0,1,1,0,0
2018,Courtney Burke,MET,D,22207005,2018-10-06,MIN,MET,0,0,0,0,0,0.22,2,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0
2018,Emma Stauber,MIN,F,22207005,2018-10-06,MIN,MET,0,0,0,0,0,0.22,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Fiona  McKenna,MET,F,22207005,2018-10-06,MIN,MET,0,0,0,0,0,-0.18,1,0,0,NA,0,0,0,0,0,0,1,2,2,1,0,0,0
