"","x"
"1","Taylor Accursi"
"2","Rachael Ade"
"3","Brooke Ammerman"
"4","Kaycie Anderson"
"5","Kelly Babstock"
"6","Juana Baribeau"
"7","Anya Battaglino"
"8","Hanna  Beattie"
"9","Morgan Beikirich"
"10","Kacey Bellamy"
"11","Ludmila Belyakova"
"12","Alexandra Bender"
"13","Lexi Bender"
"14","Lindsay Berman"
"15","Ivana Bilic"
"16","Blake Bolden"
"17","Amanda Boulier"
"18","Megan Bozek"
"19","Shelby Bram"
"20","Laura Brennan"
"21","Jordan Brickner"
"22","Celeste Brown"
"23","Hailey Browne"
"24","Harrison Browne"
"25","Sarah  Bryant"
"26","Kate Buesser"
"27","Corinne Buie"
"28","Courtney Burke"
"29","Jordyn Burns"
"30","Alex Carpenter"
"31","Sarah Casorso"
"32","Annmarie Cellino"
"33","Lisa Chesson"
"34","Nicole Connery"
"35","Kelly Cooke"
"36","Hillary  Crowe"
"37","Miye D'Oench"
"38","Sydney   Daniels"
"39","Shiann Darkangelo"
"40","Brianna Decker"
"41","Jillian Dempsey"
"42","Katherine Donohue"
"43","Sam Donovan"
"44","Kiira Dosdall"
"45","Brittany Dougherty"
"46","Shannon Doyle"
"47","Meghan Duggan"
"48","Sarah  Edney"
"49","Maddie  Elia"
"50","Molly Engstrom"
"51","Sam Faber"
"52","Meghan Fardelmann"
"53","Jessica Fickel"
"54","Emily Field"
"55","Gabie Figueroa"
"56","Katie  Fitzgerald"
"57","Emily Fluke"
"58","Kelsie Fralick"
"59","Kaleigh Fratkin"
"60","Moran Fritz-Ward"
"61","Morgan Fritz-Ward"
"62","Nana Fujimoto"
"63","Alyssa Gagliardi"
"64","Marissa Gedman"
"65","Maggie Giamo"
"66","Keira Goin"
"67","Jamie Goldsmith"
"68","Jacquie Greco"
"69","Emma Greco"
"70","Lindsay Grigg"
"71","Alexa Gruschow"
"72","Beth Hanrahan"
"73","Paige Harrington"
"74","Cheeky Herr"
"75","Zoe Hickel"
"76","Taylor Holze"
"77","Meghan   Huertas"
"78","Lindsey Hylwa"
"79","Emily Janiga"
"80","Kaliya Johnson"
"81","Ashley Johnston"
"82","Jess Jones"
"83","Jordan  Juron"
"84","Amanda Kessel"
"85","Bray Ketchum"
"86","Sydney Kidd"
"87","Grace Klienbach"
"88","Hilary Knight"
"89","Kelsey  Koelzer"
"90","Jessica Koizumi"
"91","Nicole Kosta"
"92","Kourtney Kunichika"
"93","Chelsea Laden"
"94","Brianna  Laing"
"95","Kristina Lavoie"
"96","Erika  Lawler"
"97","Jaimie Leonoff"
"98","Amanda Leveille"
"99","Michaela Levine"
"100","Kristin Lewicki"
"101","Madison  Litchfield"
"102","Rachel Llanes"
"103","Micaela Long"
"104","Shenae Lundberg"
"105","Amanda Makel"
"106","Meagan Mangene"
"107","Gigi Marvin"
"108","Kelly McDonald"
"109","Hannah McGowan"
"110","Brianne Mclaughlin"
"111","Brianne McLaughlin"
"112","Milica McMillen"
"113","Stephanie  Mock"
"114","Amber Moore"
"115","Rebecca Morse"
"116","Colleen  Murphy"
"117","Kelly Nash"
"118","Kelsey Neumann"
"119","Elena Orlando"
"120","Brittany Ott"
"121","Jordan  Ott"
"122","Madison Packer"
"123","Mary Parker"
"124","Elizabeth  Parker"
"125","Kayla Parsons"
"126","Amanda Pelkey"
"127","Emily Pfalzer"
"128","Michelle Picard"
"129","Casey Pickett"
"130","Tatiana Rafter"
"131","Cydney Roesler"
"132","Sydney Rossman"
"133","Rebecca Russo"
"134","Jenny Ryan"
"135","Kimberly Sass"
"136","Paige Savage"
"137","Hayley  Scamurra"
"138","Anne Schleper"
"139","Kaylyn  Schroka"
"140","Heather  Schwarz"
"141","Jenny Scrivens"
"142","Sojung Shin"
"143","Sarah Shureb"
"144","Jessica Sibley"
"145","Haley Skarupa"
"146","Devon Skeats"
"147","Lauren Slebodnick"
"148","Jordan Smelker"
"149","Yekaterina Smolentseva"
"150","Mallory Souliotis"
"151","Kelli Stack"
"152","Kelley Steadman"
"153","Corey  Stearns"
"154","Nicole Stock"
"155","Kathryn Tomaselli"
"156","Tara Tomimoto"
"157","Dana Trivigno"
"158","Ashley Vesci"
"159","Rebecca  Vint"
"160","Danielle Ward"
"161","Lauren Wash"
"162","Janine Weber"
"163","Hayley Williams"
"164","Alyssa Wohlfeiler"
"165","Erin Zach"
