"","Player","Team","Position","Game.ID","Date","Home","Away","G","A1","A2","PTS","PrPTS","GS","SOG","eGF","eGA","GF.","PPG","PPA1","PPA2","SHG","SHA1","SHA2","FOW","FOL","PIM","Blk","TO","SV","GA","Season"
"1","Anya Battaglino","CTW","F","14665102","2016-08-18","CTW","MET",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"2","Ashley Johnston","MET","D","14665102","2016-08-18","CTW","MET",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"3","Brooke Ammerman","MET","F","14665102","2016-08-18","CTW","MET",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"4","Danielle Ward","CTW","F","14665102","2016-08-18","CTW","MET",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"5","Elena Orlando","MET","D","14665102","2016-08-18","CTW","MET",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"6","Jaimie Leonoff","CTW","G","14665102","2016-08-18","CTW","MET",0,0,0,0,0,3.48,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,32,1,2015
"7","Jessica Koizumi","CTW","F","14665102","2016-08-18","CTW","MET",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"8","Jordan Brickner","CTW","D","14665102","2016-08-18","CTW","MET",0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"9","Kaleigh Fratkin","CTW","D","14665102","2016-08-18","CTW","MET",0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"10","Kelli Stack","CTW","F","14665102","2016-08-18","CTW","MET",1,1,1,3,2,2.22,1,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"11","Kelly Babstock","CTW","F","14665102","2016-08-18","CTW","MET",1,1,0,2,2,1.75,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"12","Kiira Dosdall","MET","D","14665102","2016-08-18","CTW","MET",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"13","Ludmila Belyakova","MET","F","14665102","2016-08-18","CTW","MET",0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"14","Madison Packer","MET","F","14665102","2016-08-18","CTW","MET",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"15","Micaela Long","CTW","F","14665102","2016-08-18","CTW","MET",0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"16","Molly Engstrom","CTW","D","14665102","2016-08-18","CTW","MET",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"17","Nana Fujimoto","MET","G","14665102","2016-08-18","CTW","MET",0,0,0,0,0,-0.5,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,25,4,2015
"18","Shiann Darkangelo","CTW","F","14665102","2016-08-18","CTW","MET",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"19","Alyssa Gagliardi","BOS","D","14668259","2016-08-18","BUF","BOS",0,1,1,2,1,1.28,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"20","Amanda Pelkey","BOS","F","14668259","2016-08-18","BUF","BOS",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,2015
"21","Brianna Decker","BOS","F","14668259","2016-08-18","BUF","BOS",0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"22","Brianne Mclaughlin","BUF","G","14668259","2016-08-18","BUF","BOS",0,0,0,0,0,2.3,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,45,4,2015
"23","Brittany Ott","BOS","G","14668259","2016-08-18","BUF","BOS",0,0,0,0,0,3.76,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,34,1,2015
"24","Emily Field","BOS","F","14668259","2016-08-18","BUF","BOS",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"25","Emily Pfalzer","BUF","D","14668259","2016-08-18","BUF","BOS",0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"26","Hilary Knight","BOS","F","14668259","2016-08-18","BUF","BOS",2,0,0,2,2,2.22,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"27","Jillian Dempsey","BOS","F","14668259","2016-08-18","BUF","BOS",0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,2015
"28","Jordan Smelker","BOS","F","14668259","2016-08-18","BUF","BOS",1,0,0,1,1,1.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"29","Kacey Bellamy","BOS","D","14668259","2016-08-18","BUF","BOS",0,2,0,2,2,0.94,0,0,0,NA,0,0,0,0,1,0,0,0,4,0,0,0,0,2015
"30","Kelley Steadman","BUF","F","14668259","2016-08-18","BUF","BOS",1,0,0,1,1,0.94,1,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"31","Marissa Gedman","BOS","D","14668259","2016-08-18","BUF","BOS",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"32","Meghan Duggan","BUF","F","14668259","2016-08-18","BUF","BOS",0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"33","Zoe Hickel","BOS","F","14668259","2016-08-18","BUF","BOS",0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"34","Alyssa Wohlfeiler","CTW","F","14689699","2016-08-22","BUF","CTW",1,0,0,1,1,0.94,1,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"35","Annmarie Cellino","BUF","F","14689699","2016-08-22","BUF","CTW",0,0,1,1,0,0.64,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,2015
"36","Anya Battaglino","CTW","F","14689699","2016-08-22","BUF","CTW",0,0,0,0,0,-0.34,0,0,0,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,2015
"37","Brianne Mclaughlin","BUF","G","14689699","2016-08-22","BUF","CTW",0,0,0,0,0,1.74,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,41,4,2015
"38","Chelsea Laden","CTW","G","14689699","2016-08-22","BUF","CTW",0,0,0,0,0,2.2,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,30,2,2015
"39","Hailey Browne","BUF","F","14689699","2016-08-22","BUF","CTW",0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2015
"40","Jordan Brickner","CTW","D","14689699","2016-08-22","BUF","CTW",0,0,1,1,0,0.64,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,2015
"41","Kaleigh Fratkin","CTW","D","14689699","2016-08-22","BUF","CTW",1,2,0,3,3,2.05,1,0,0,NA,0,2,0,0,0,0,0,0,4,0,0,0,0,2015
"42","Kate Buesser","CTW","F","14689699","2016-08-22","BUF","CTW",1,0,0,1,1,1.11,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,2015
"43","Kelley Steadman","BUF","F","14689699","2016-08-22","BUF","CTW",1,1,0,2,2,1.58,1,0,0,NA,0,0,0,0,1,0,0,0,2,0,0,0,0,2015
